Sat Nov 14 12:40:01 CET 2015 12:40:01 up 2:38, 0 users, load average: 0.00, 0.01, 0.05
Sat Nov 14 12:50:01 CET 2015 12:50:01 up 2:48, 0 users, load average: 0.00, 0.01, 0.05
Sat Nov 14 13:00:01 CET 2015 13:00:01 up 2:58, 0 users, load average: 0.00, 0.01, 0.05
Sat Nov 14 13:10:01 CET 2015 13:10:01 up 3:08, 0 users, load average: 0.00, 0.01, 0.05
Sat Nov 14 13:20:01 CET 2015 13:20:01 up 3:18, 0 users, load average: 0.00, 0.01, 0.05
Sat Nov 14 13:30:01 CET 2015 13:30:01 up 3:28, 0 users, load average: 0.00, 0.01, 0.05
Sat Nov 14 13:40:01 CET 2015 13:40:01 up 3:38, 0 users, load average: 0.00, 0.01, 0.05
Sat Nov 14 13:50:01 CET 2015 13:50:01 up 3:48, 0 users, load average: 0.00, 0.01, 0.05
Sat Nov 14 14:00:01 CET 2015 14:00:01 up 3:58, 0 users, load average: 0.00, 0.01, 0.05
Sat Nov 14 14:10:01 CET 2015 14:10:01 up 4:08, 0 users, load average: 0.00, 0.01, 0.05
Sat Nov 14 14:20:01 CET 2015 14:20:01 up 4:18, 0 users, load average: 0.05, 0.03, 0.05
Sat Nov 14 14:30:01 CET 2015 14:30:01 up 4:28, 0 users, load average: 0.00, 0.01, 0.05
Sat Nov 14 14:40:01 CET 2015 14:40:01 up 4:38, 0 users, load average: 0.00, 0.01, 0.05
Sat Nov 14 14:50:01 CET 2015 14:50:01 up 4:48, 0 users, load average: 0.01, 0.02, 0.05
Sat Nov 14 15:00:01 CET 2015 15:00:01 up 4:58, 0 users, load average: 0.00, 0.01, 0.05
Sat Nov 14 15:10:01 CET 2015 15:10:01 up 5:08, 0 users, load average: 0.00, 0.01, 0.05
Sat Nov 14 15:20:01 CET 2015 15:20:01 up 5:18, 0 users, load average: 0.00, 0.01, 0.05
Sat Nov 14 15:30:01 CET 2015 15:30:01 up 5:28, 0 users, load average: 0.00, 0.01, 0.05
Sun Nov 15 09:40:01 CET 2015 09:40:01 up 8 min, 0 users, load average: 0.00, 0.03, 0.04
Sun Nov 15 09:50:01 CET 2015 09:50:01 up 18 min, 0 users, load average: 0.03, 0.02, 0.05
Sun Nov 15 10:00:01 CET 2015 10:00:01 up 28 min, 0 users, load average: 0.00, 0.01, 0.05
Sun Nov 15 10:10:01 CET 2015 10:10:01 up 38 min, 0 users, load average: 0.00, 0.01, 0.05
Sun Nov 15 10:20:01 CET 2015 10:20:01 up 48 min, 0 users, load average: 0.00, 0.01, 0.05
Sun Nov 15 10:30:01 CET 2015 10:30:01 up 58 min, 0 users, load average: 0.00, 0.01, 0.05
Sun Nov 15 10:40:01 CET 2015 10:40:01 up 1:08, 0 users, load average: 0.00, 0.01, 0.05
Sun Nov 15 10:50:01 CET 2015 10:50:01 up 1:18, 0 users, load average: 0.00, 0.01, 0.05
Sun Nov 15 11:00:01 CET 2015 11:00:01 up 1:28, 0 users, load average: 0.01, 0.03, 0.05
Sun Nov 15 11:10:01 CET 2015 11:10:01 up 1:38, 0 users, load average: 0.00, 0.01, 0.05
Sun Nov 15 11:20:01 CET 2015 11:20:01 up 1:48, 0 users, load average: 0.03, 0.04, 0.05
Sun Nov 15 11:30:01 CET 2015 11:30:01 up 1:58, 0 users, load average: 0.00, 0.01, 0.05
Sun Nov 15 11:40:01 CET 2015 11:40:01 up 2:08, 0 users, load average: 0.01, 0.02, 0.05
Sun Nov 15 11:50:01 CET 2015 11:50:01 up 2:18, 0 users, load average: 0.00, 0.01, 0.05
Sun Nov 15 12:00:01 CET 2015 12:00:01 up 2:28, 0 users, load average: 0.00, 0.01, 0.05
